question,valid_question,valid_answer,question_type
Which European countries have AI policies?,True,True,relevant
Which Latin American countries have AI policies?,True,True,relevant
How many countries have a national AI strategy?,True,True,relevant
How many African countries have a national AI strategy?,True,True,relevant
What are the most common AI policies?,True,True,relevant
What are some examples of success factors for AI strategies?,True,True,relevant
How are countries monitoring and evaluating AI policy implementation?,True,True,relevant
What are the most common AI policies related to transparency?,True,True,relevant
Which countries have a register of AI systems used in the public sector?,True,True,relevant
Which countries have AI policies (regulations) on the use of AI in the workplace?,True,True,relevant
Which countries have conducted an evaluation of their national AI strategy?,True,True,relevant
Which countries have set up AI research centres?,True,True,relevant
What are the main policies to foster AI skills in EU countries?,True,True,relevant
Which countries are developing AI policies aimed at either reducing emissions or fostering the green transition?,True,True,relevant
Which countries have established a dedicated (either digital or AI) ministry to advance their policies?,True,True,relevant
Which countries are collaborating to foster cross-border AI policy initiatives?/ which policies have more than one financing country?,True,True,relevant
What is the focus of Italy’s AI policy strategy?,True,True,relevant
What are the main priorities of the Australian AI Action Plan?,True,True,relevant
Which sectors does France’s AI policies focus on?,True,True,relevant
What are three AI policy examples in the USA?,True,True,relevant
What areas of the AI ecosystem does Germany's AI strategy tend to focus on?,True,True,relevant
Which OECD AI Principles seem most important in Germany’s AI national strategy?,True,True,relevant
What are the most important AI policies in Canada ?,True,True,relevant
"What are the strengths, weaknesses, opportunities and threats of Ireland’s AI ecosystem?",True,True,relevant
In what way does Canada implement the OECD AI Principles?,True,True,relevant
To which extent is Australia's AI Ethics Framework aligned to the OECD AI Principles?,True,True,relevant
What qualitative questions were asked in the UK AI ecosystem survey?,True,True,relevant
How were stakeholders consulted in the elaboration of the AI national strategy of Colombia?,True,True,relevant
What are the key pillars of France’s national AI strategy?,True,True,relevant
Are there AI policies in Portugal related to transparency?,True,True,relevant
Are there AI policies in the EU related to explainability?,True,True,relevant
Are there AI policies in France related to robustness?,True,True,relevant
Are there AI policies in Israel related to security?,True,True,relevant
Are there AI policies in Denmark related to safety?,True,True,relevant
Are there AI policies in the UK related to fairness?,True,True,relevant
Are there AI policies in the UK related to privacy and data governance?,True,True,relevant
Are there AI policies in Japan related to accountability?,True,True,relevant
Are there AI policies in Singapore promoting human-centred values?,True,True,relevant
Are there AI policies in the US related to transparency?,True,True,relevant
"Are there any AI policies in Germany focusing on [sector e.g. healthcare, mobility]?",True,True,relevant
Are there any AI policies related to AI adoption in the public sector in the UK?,True,True,relevant
Are there any AI policies related to AI adoption in the public sector in France?,True,True,relevant
"Are there any policies targeted to attracting and retaining private investments in AI in Canada? Are there any policies targeted to 	attracting and retaining private investments in AI in Germany?	"",""",True,True,relevant
"Are there any policies targeted to increasing diversity in AI in the Netherlands (e.g. by supporting the inclusion of women, minorities, vulnerable groups, etc. in AI development and use)?",True,True,relevant
Are there any policies targeted to attracting and retaining AI talent in the United Kingdom?,True,True,relevant
Are there any incentives to foster the creation of AI start-ups in Serbia? Are there any barriers?,True,True,relevant
"Are there AI policies in UAE helping to build human capacity (e.g. reskill, upskill, etc.)?",True,True,relevant
Are there AI policies in Serbia supporting research and development?,True,True,relevant
Has Canada set up AI research centres as part of its national AI strategy?,True,True,relevant
Are there any policies in Canada related to large language models?,True,True,relevant
Are there any policies in the United States related to data centres and compute capacity?,True,True,relevant
What official bodies are responsible for AI strategy in the UK?,True,True,relevant
Which part of the government is responsible for AI policies in Serbia?,True,True,relevant
Which parts of the Finnish government are involved in AI policymaking?,True,True,relevant
Are there any AI regulatory sandboxes in Spain?,True,True,relevant
Are there any AI regulatory sandboxes in Japan?,True,True,relevant
Which countries have established ethics or oversight bodies for AI?,True,True,relevant
What is the timeline of Slovenia’s implementation of its national AI strategy?,True,True,relevant
What is the timeline of Korea’s implementation of its national AI strategy?,True,True,relevant
In which year has the second phase of France’s national AI strategy started?,True,True,relevant
How is Canada evaluating the success of its AI strategy?,True,True,relevant
What are the indicators listed in the Egypt AI strategy to monitor progress of	actions?,True,True,relevant
How much is the United Kingdom’s AI strategy investing in AI?,True,True,relevant
What is the budget of the French national AI strategy?,True,True,relevant
Has the EU proposed specific legislation on AI?,True,True,relevant
Has Canada proposed specific legislation on AI?,True,True,relevant
Which legislation in Japan applies to AI?,True,True,relevant
What are the most effective ways to promote a healthy work-life balance in modern society?,False,False,irrelevant
How can urban planning and design contribute to the creation of more sustainable and livable cities?,False,False,irrelevant
"What role do bees play in the ecosystem, and what can be done to protect their populations from decline?",False,False,irrelevant
"What are the most promising emerging technologies for addressing the global water crisis, and how can they be scaled up?",False,False,irrelevant
How has the introduction of cryptocurrencies and blockchain technology influenced the global financial landscape?,False,False,irrelevant
"What are the key factors contributing to the rise in global obesity rates, and how can policymakers address this public health issue?",False,False,irrelevant
How can we promote sustainable tourism practices that benefit both local communities and the environment?,False,False,irrelevant
"What are some effective strategies for reducing food waste at the individual, household, and institutional levels?",False,False,irrelevant
"How has the evolution of social media impacted political discourse and the spread of information, both accurate and inaccurate?",False,False,irrelevant
What are some of the most significant challenges and opportunities associated with space exploration in the 21st century?,False,False,irrelevant
How can we encourage the use of renewable energy sources and reduce dependence on fossil fuels?,False,False,irrelevant
What are the key factors that contribute to the development and preservation of cultural heritage in a rapidly globalizing world?,False,False,irrelevant
"How can we promote greater gender equality and empower women in various aspects of society, including education, employment, and political representation?",False,False,irrelevant
What are some innovative methods for addressing the growing issue of plastic pollution in oceans and waterways?,False,False,irrelevant
How can the global community work together to prevent the spread of infectious diseases and prepare for potential pandemics?,False,False,irrelevant
"What are the key factors that influence the taste and quality of different types of wine, and how can this knowledge be used to make better wine selections?",False,False,irrelevant
How have advances in virtual reality and augmented reality technologies impacted the gaming industry and the way we interact with digital content?,False,False,irrelevant
"What role do pets play in human well-being and mental health, and what are the benefits and challenges of pet ownership?",False,False,irrelevant
"What are the primary causes of traffic congestion in urban areas, and what solutions can be implemented to alleviate this problem?",False,False,irrelevant
"How can the arts, such as music, theater, and visual arts, contribute to the overall well-being and personal development of individuals and communities?",False,False,irrelevant
"What are the most effective methods for learning a new language and achieving fluency, and how do these methods vary among different age groups?",False,False,irrelevant
What are some strategies for maintaining personal motivation and productivity while working remotely or in a flexible work environment?,False,False,irrelevant
"How has the increasing popularity of plant-based diets influenced the food industry, and what are the potential health and environmental benefits of adopting such a diet?",False,False,irrelevant
