question,valid_question,valid_answer,question_type,group,is_original
Which European countries have AI policies?,True,True,relevant (original),0,True
Which countries in Europe have implemented AI policies?,True,True,relevant (variants),0,False
Can you list the European countries that have AI policies?,True,True,relevant (variants),0,False
Do you know the European countries with AI policies?,True,True,relevant (variants),0,False
Europe countries with AI policies which ones?,True,True,relevant (variants),0,False
Which Latin American countries have AI policies?,True,True,relevant (original),1,True
Which countries in Latin America have policies on Artificial Intelligence?,True,True,relevant (variants),1,False
Can you list the Latin American countries that have implemented AI policies?,True,True,relevant (variants),1,False
Do you know any Latin American countries with AI policies?,True,True,relevant (variants),1,False
"Latin American countries, AI policies, which ones have?",True,True,relevant (variants),1,False
How many countries have a national AI strategy?,True,True,relevant (original),2,True
What's the count of countries that possess a national AI strategy?,True,True,relevant (variants),2,False
How many nations have implemented a national strategy for AI?,True,True,relevant (variants),2,False
Number of countries with a national AI strategy?,True,True,relevant (variants),2,False
"Countries have national AI strategy, how many?",True,True,relevant (variants),2,False
What are the most common AI policies?,True,True,relevant (original),3,True
Can you tell me the most prevalent AI policies?,True,True,relevant (variants),3,False
What AI policies are most frequently used?,True,True,relevant (variants),3,False
"Most common policies in AI, what are they?",True,True,relevant (variants),3,False
"AI policies, which ones common most?",True,True,relevant (variants),3,False
What are some examples of success factors for AI strategies?,True,True,relevant (original),4,True
Can you provide some examples of success factors for AI strategies?,True,True,relevant (variants),4,False
What could be some successful elements for AI strategies?,True,True,relevant (variants),4,False
What are the key factors for a successful AI strategy?,True,True,relevant (variants),4,False
What success factors for AI strategies you know?,True,True,relevant (variants),4,False
How are countries monitoring and evaluating AI policy implementation?,True,True,relevant (original),5,True
What methods are countries using to monitor and evaluate the implementation of AI policies?,True,True,relevant (variants),5,False
How is the implementation of AI policy being monitored and evaluated by countries?,True,True,relevant (variants),5,False
"Countries, how they monitor and evaluate AI policy implementation?",True,True,relevant (variants),5,False
"AI policy implementation, how countries are checking and assessing?",True,True,relevant (variants),5,False
What are the most common AI policies related to transparency?,True,True,relevant (original),6,True
Can you tell me the most prevalent AI policies regarding transparency?,True,True,relevant (variants),6,False
What are the typical transparency-related AI policies?,True,True,relevant (variants),6,False
What AI policies are most common for transparency?,True,True,relevant (variants),6,False
"AI policies for transparency, which ones common?",True,True,relevant (variants),6,False
Which countries have a register of AI systems used in the public sector?,True,True,relevant (original),7,True
Can you tell me the countries that maintain a register of AI systems used in the public sector?,True,True,relevant (variants),7,False
Do you know the countries with a register of public sector AI systems?,True,True,relevant (variants),7,False
Which nations keep a record of AI systems in the public sector?,True,True,relevant (variants),7,False
Countries have register of AI systems in public sector?,True,True,relevant (variants),7,False
Which countries have AI policies (regulations) on the use of AI in the workplace?,True,True,relevant (original),8,True
Can you list the countries that have AI regulations for workplace use?,True,True,relevant (variants),8,False
Do you know which nations have implemented AI policies for use in the work environment?,True,True,relevant (variants),8,False
Which countries have rules about using AI at work?,True,True,relevant (variants),8,False
Countries have AI use in work place rules?,True,True,relevant (variants),8,False
Which countries have conducted an evaluation of their national AI strategy?,True,True,relevant (original),9,True
Which nations have assessed their national AI strategy?,True,True,relevant (variants),9,False
Can you tell me the countries that have evaluated their national AI strategy?,True,True,relevant (variants),9,False
Do you know the countries that have done an evaluation of their national AI strategy?,True,True,relevant (variants),9,False
Countries that have checked their national AI strategy?,True,True,relevant (variants),9,False
Which countries have set up AI research centres?,True,True,relevant (original),10,True
Can you list the countries that have established AI research centres?,True,True,relevant (variants),10,False
Do you know the countries where AI research centres are located?,True,True,relevant (variants),10,False
Which nations have AI research centres?,True,True,relevant (variants),10,False
"Countries with AI research centres, which are they?",True,True,relevant (variants),10,False
What are the main policies to foster AI skills in EU countries?,True,True,relevant (original),11,True
What are the primary strategies to promote AI abilities in European Union nations?,True,True,relevant (variants),11,False
What's the main approach to encourage AI expertise in countries of the EU?,True,True,relevant (variants),11,False
What policies are in place to boost AI skills in EU countries?,True,True,relevant (variants),11,False
What be main rules for push AI skill in EU country?,True,True,relevant (variants),11,False
Which countries are developing AI policies aimed at either reducing emissions or fostering the green transition?,True,True,relevant (original),12,True
Which nations are formulating AI strategies to lower emissions or promote green transition?,True,True,relevant (variants),12,False
Can you list the countries that are creating AI policies for emission reduction or green transition?,True,True,relevant (variants),12,False
Which countries are making AI policies for either emission reduction or green transition?,True,True,relevant (variants),12,False
Countries which are making AI policies for reducing emissions or green transition?,True,True,relevant (variants),12,False
Which countries have established a dedicated (either digital or AI) ministry to advance their policies?,True,True,relevant (original),13,True
Can you tell me the countries that have set up a specific ministry for digital or AI to progress their policies?,True,True,relevant (variants),13,False
Do you know the nations that have a dedicated ministry for digital or AI to enhance their policies?,True,True,relevant (variants),13,False
Which nations got a special ministry for digital or AI for better policies?,True,True,relevant (variants),13,False
Countries with special ministry for digital or AI for policy better?,True,True,relevant (variants),13,False
Which countries are collaborating to foster cross-border AI policy initiatives?,True,True,relevant (original),14,True
Which nations are working together to promote AI policy initiatives across borders?,True,True,relevant (variants),14,False
Can you tell me the countries that are partnering to advance cross-border AI policy initiatives?,True,True,relevant (variants),14,False
Which countries are jointly pushing for cross-border AI policy initiatives?,True,True,relevant (variants),14,False
Countries which are doing teamwork for cross-border AI policy initiatives?,True,True,relevant (variants),14,False
What is the focus of Italy’s AI policy strategy?,True,True,relevant (original),15,True
What does Italy's AI policy strategy primarily concentrate on?,True,True,relevant (variants),15,False
Can you tell me the main focus of Italy's AI policy strategy?,True,True,relevant (variants),15,False
What's the main point of Italy's strategy for AI policy?,True,True,relevant (variants),15,False
Italy AI policy strategy focus what is?,True,True,relevant (variants),15,False
What are the main priorities of the Australian AI Action Plan?,True,True,relevant (original),16,True
Can you list the primary objectives of the Australian AI Action Plan?,True,True,relevant (variants),16,False
What are the key focuses of the Australian AI Action Plan?,True,True,relevant (variants),16,False
What's the main agenda of the Australian AI Action Plan?,True,True,relevant (variants),16,False
"Australian AI Action Plan, what main things it focus?",True,True,relevant (variants),16,False
Which sectors does France’s AI policies focus on?,True,True,relevant (original),17,True
What are the sectors targeted by France's AI policies?,True,True,relevant (variants),17,False
Can you tell me the sectors that France's AI policies are focusing on?,True,True,relevant (variants),17,False
"France's AI policies, which sectors do they focus on?",True,True,relevant (variants),17,False
"Sectors, France AI policies focus on which?",True,True,relevant (variants),17,False
What are three AI policy examples in the USA?,True,True,relevant (original),18,True
Can you name three examples of AI policy in the USA?,True,True,relevant (variants),18,False
What are three instances of AI policy in the United States?,True,True,relevant (variants),18,False
Could you provide three examples of AI policy in America?,True,True,relevant (variants),18,False
"Three AI policy examples in USA, what are?",True,True,relevant (variants),18,False
What areas of the AI ecosystem does Germany's AI strategy tend to focus on?,True,True,relevant (original),19,True
Which sectors of the AI ecosystem are the main focus of Germany's AI strategy?,True,True,relevant (variants),19,False
What are the key areas of the AI ecosystem that Germany's AI strategy emphasizes?,True,True,relevant (variants),19,False
"Germany's AI strategy, what areas of the AI ecosystem it focus?",True,True,relevant (variants),19,False
"AI ecosystem, where Germany AI strategy focus?",True,True,relevant (variants),19,False
What are the most important AI policies in Canada ?,True,True,relevant (original),20,True
Can you tell me about the key AI policies in Canada?,True,True,relevant (variants),20,False
